Promoter_1_gene_id	Promoter_1_Type	Cell_line_interaction	Promoter_2_gene_id	Promoter_2_Type		
ABL1	hPromoter	Hela	TMEM211	hPromoter		
ABL2	EPromoter(K562 & Hela)	Hela	SP2	hPromoter		
ABLIM1	hPromoter	Hela	GABRB3	hPromoter		
ABT1	EPromoter(Hela)	Hela	HIST1H2BJ	hPromoter		
ABT1	EPromoter(Hela)	Hela	HIST1H2AG	hPromoter		
ABTB2	hPromoter	Hela	TRIM33	hPromoter		
ABTB2	hPromoter	Hela	NAT10	hPromoter		
ACAA2	hPromoter	Hela	VAMP4	hPromoter		
ACAA2	hPromoter	Hela	C18orf32	hPromoter		
ACACA	hPromoter	Hela	STIM1	hPromoter		
ACACA	hPromoter	Hela	ACACA	hPromoter		
ACAD10	hPromoter	Hela	MIXL1	hPromoter		
ACAD8	hPromoter	Hela	SPEF2	hPromoter		
ACAD8	hPromoter	Hela	VPS26B	hPromoter		
ACAD8	hPromoter	Hela	NCAPD3	hPromoter		
ACAD9	hPromoter	Hela	MIS12	hPromoter		
ACAD9	hPromoter	Hela	DERL2	hPromoter		
ACAD9	hPromoter	Hela	RPN1	hPromoter		
ACADM	hPromoter	Hela	NOV	EPromoter(K562 & Hela)		
ACADM	hPromoter	Hela	RABGGTA	hPromoter		
ACADM	hPromoter	K562 & Hela	RABGGTB	hPromoter		
ACADS	hPromoter	Hela	MLEC	hPromoter		
ACADVL	hPromoter	Hela	PHF23	hPromoter		
ACADVL	hPromoter	Hela	GABARAP	hPromoter		
ACAP2	hPromoter	Hela	ZFP64	hPromoter		
ACAT2	hPromoter	Hela	ACAT2	hPromoter		
ACAT2	hPromoter	Hela	SOD2	hPromoter		
ACAT2	hPromoter	Hela	WTAP	hPromoter		
ACAT2	hPromoter	K562 & Hela	TCP1	hPromoter		
ACAT2	hPromoter	K562 & Hela	MRPL18	hPromoter		
ACBD4	hPromoter	Hela	SYT11	hPromoter		
ACBD4	hPromoter	Hela	GON4L	hPromoter		
ACBD4	hPromoter	Hela	ZFYVE19	hPromoter		
ACBD4	hPromoter	Hela	DNAJC17	hPromoter		
ACBD4	hPromoter	Hela	HEXIM1	hPromoter		
ACBD4	hPromoter	Hela	HEXIM2	hPromoter		
ACBD4	hPromoter	Hela	FMNL1	hPromoter		
ACBD5	hPromoter	Hela	BANP	EPromoter(K562 & Hela)		
ACBD5	hPromoter	Hela	YME1L1	hPromoter		
ACBD5	hPromoter	Hela	MASTL	hPromoter		
ACBD6	hPromoter	Hela	XPR1	hPromoter		
ACBD7	hPromoter	K562	DCLRE1C	hPromoter		
ACD	hPromoter	Hela	GFOD2	hPromoter		
ACD	hPromoter	Hela	CTCF	hPromoter		
ACER2	hPromoter	Hela	RPS6	hPromoter		
ACIN1	EPromoter(K562)	Hela	ROMO1	hPromoter		
ACIN1	EPromoter(K562)	Hela	NFS1	hPromoter		
ACKR2	hPromoter	Hela	GTPBP1	hPromoter		
ACLY	hPromoter	Hela	OAZ2	hPromoter		
ACLY	hPromoter	Hela	TTC25	hPromoter		
ACLY	hPromoter	Hela	ACLY	hPromoter		
ACLY	hPromoter	K562 & Hela	CNP	hPromoter		
ACO1	hPromoter	K562	DDX58	EPromoter(Hela)		
ACO1	hPromoter	K562 & Hela	NDUFB6	hPromoter		
ACO2	hPromoter	Hela	TOB2	hPromoter		
ACOT13	hPromoter	Hela	GMNN	hPromoter		
ACOT13	hPromoter	K562 & Hela	KIAA0319	hPromoter		
ACOT8	hPromoter	Hela	WDR90	EPromoter(Hela)		
ACOT8	hPromoter	Hela	CTSA	hPromoter		
ACOT8	hPromoter	Hela	NEURL2	hPromoter		
ACOX1	hPromoter	Hela	ASF1B	hPromoter		
ACP1	hPromoter	Hela	HIST1H2AK	hPromoter		
ACP1	hPromoter	Hela	HIST1H2BN	hPromoter		
ACP2	hPromoter	Hela	SLC39A13	EPromoter(Hela)		
ACP2	hPromoter	Hela	MADD	hPromoter		
ACP2	hPromoter	Hela	ARFGAP2	hPromoter		
ACP2	hPromoter	Hela	PACSIN3	hPromoter		
ACSF2	hPromoter	Hela	RSAD1	hPromoter		
ACSF2	hPromoter	K562	LRRC59	hPromoter		
ACSL3	EPromoter(K562)	Hela	MFAP1	hPromoter		
ACSL5	hPromoter	Hela	ITPRIP	hPromoter		
ACSS2	hPromoter	K562 & Hela	MYH7B	hPromoter		
ACSS2	hPromoter	K562 & Hela	GSS	hPromoter		
ACTA2	hPromoter	Hela	ODF2	hPromoter		
ACTB	hPromoter	Hela	MRPL34	hPromoter		
ACTB	hPromoter	Hela	LTBP4	hPromoter		
ACTB	hPromoter	Hela	ACTB	hPromoter		
ACTB	hPromoter	Hela	FBXL18	hPromoter		
ACTB	hPromoter	K562	ITGB5	hPromoter		
ACTL6A	hPromoter	Hela	ZNF639	hPromoter		
ACTL6A	hPromoter	Hela	IL6	hPromoter		
ACTN1	hPromoter	Hela	ENO1	hPromoter		
ACTR1A	hPromoter	Hela	FBXL15	hPromoter		
ACTR1A	hPromoter	Hela	PSD	hPromoter		
ACTR1B	EPromoter(K562)	Hela	ANKRD36B	hPromoter		
ACTR1B	EPromoter(K562)	Hela	COX5B	hPromoter		
ACTR3	hPromoter	Hela	SARNP	hPromoter		
ACTR3	hPromoter	Hela	ORMDL2	hPromoter		
ACTR3	hPromoter	Hela	CDK17	hPromoter		
ACTR3	hPromoter	K562 & Hela	SLC35F5	hPromoter		
ACTR8	hPromoter	Hela	SELK	hPromoter		
ACTR8	hPromoter	Hela	CHDH	hPromoter		
ACTR8	hPromoter	Hela	IL17RB	hPromoter		
