Promoter_1_gene_id	Promoter_1_Type	Cell_line_interaction	Promoter_2_gene_id	Promoter_2_Type		
DSTYK	hPromoter	K562	TMCC2	hPromoter		
DTD2	hPromoter	Hela	PRKAA1	hPromoter		
DTD2	hPromoter	Hela	GALT	hPromoter		
DTD2	hPromoter	Hela	HEATR5A	hPromoter		
DTL	hPromoter	Hela	DPF2	hPromoter		
DTX3L	hPromoter	K562	PARP14	EPromoter(K562 & Hela)		
DTYMK	hPromoter	Hela	THAP4	hPromoter		
DTYMK	hPromoter	Hela	ATG4B	hPromoter		
DUOX2	hPromoter	Hela	RPL27	hPromoter		
DUPD1	hPromoter	Hela	COMTD1	hPromoter		
DUS1L	hPromoter	Hela	GPS1	hPromoter		
DUS1L	hPromoter	Hela	RFNG	hPromoter		
DUSP1	hPromoter	K562 & Hela	ERGIC1	hPromoter		
DUSP10	hPromoter	Hela	UBA6	EPromoter(Hela)		
DUSP10	hPromoter	Hela	IER5	hPromoter		
DUSP12	EPromoter(Hela)	Hela	ATF6	hPromoter		
DUSP16	hPromoter	Hela	STAM	EPromoter(K562)		
DUSP16	hPromoter	Hela	INPPL1	EPromoter(K562)		
DUSP16	hPromoter	K562	GPR19	hPromoter		
DUSP19	hPromoter	K562	NCKAP1	hPromoter		
DUSP2	hPromoter	Hela	CIAO1	hPromoter		
DUSP2	hPromoter	Hela	TMEM127	hPromoter		
DUSP3	EPromoter(K562)	Hela	TMEM5	hPromoter		
DUSP5	hPromoter	Hela	GCHFR	hPromoter		
DUSP5	hPromoter	Hela	IQCE	hPromoter		
DUSP5	hPromoter	Hela	BTF3L4	hPromoter		
DUSP5	hPromoter	Hela	TXNDC12	hPromoter		
DUT	hPromoter	Hela	TBC1D22B	hPromoter		
DUT	hPromoter	Hela	TMEM217	hPromoter		
DVL2	hPromoter	Hela	CTDNEP1	EPromoter(Hela)		
DVL2	hPromoter	Hela	ELP5	EPromoter(Hela)		
DVL2	hPromoter	Hela	EIF5A	hPromoter		
DVL2	hPromoter	K562 & Hela	ACADVL	hPromoter		
DVL2	hPromoter	K562 & Hela	DLG4	hPromoter		
DYNC1H1	hPromoter	Hela	NPL	hPromoter		
DYNC1I1	hPromoter	Hela	COQ4	hPromoter		
DYNC1I1	hPromoter	Hela	TRUB2	hPromoter		
DYNC2H1	hPromoter	Hela	DCUN1D5	hPromoter		
DYNLL1	hPromoter	K562 & Hela	DYNLL1	hPromoter		
DYNLRB1	hPromoter	Hela	AHCY	hPromoter		
DYRK1A	EPromoter(K562)	Hela	MTMR2	hPromoter		
DYRK1A	EPromoter(K562)	K562 & Hela	DSCR3	hPromoter		
DYRK3	hPromoter	Hela	EIF2D	hPromoter		
DYSF	hPromoter	Hela	AHCY	hPromoter		
DZANK1	hPromoter	Hela	MLX	hPromoter		
DZIP1	hPromoter	Hela	SCFD1	hPromoter		
DZIP1L	hPromoter	Hela	ARMC8	hPromoter		
DZIP1L	hPromoter	Hela	NDUFAF3	hPromoter		
DZIP1L	hPromoter	Hela	DALRD3	hPromoter		
DZIP3	hPromoter	Hela	HERC1	EPromoter(K562 & Hela)		
DZIP3	hPromoter	Hela	LINS1	hPromoter		
DZIP3	hPromoter	Hela	ASB7	hPromoter		
E2F1	hPromoter	Hela	NECAB3	hPromoter		
E2F1	hPromoter	K562 & Hela	ZNF341	hPromoter		
E2F3	hPromoter	Hela	CDKAL1	EPromoter(K562)		
E2F3	hPromoter	Hela	MYL12A	hPromoter		
E2F3	hPromoter	Hela	MBOAT1	hPromoter		
E2F4	EPromoter(Hela)	Hela	ELMO3	hPromoter		
E2F4	EPromoter(Hela)	Hela	LRRC29	hPromoter		
E2F4	EPromoter(Hela)	Hela	TMEM208	hPromoter		
E2F4	EPromoter(Hela)	Hela	KIAA0895L	hPromoter		
E2F5	hPromoter	Hela	LRRCC1	hPromoter		
E2F5	hPromoter	K562	C8orf59	hPromoter		
E2F6	hPromoter	Hela	POLG	hPromoter		
E2F6	hPromoter	K562	ZNF398	hPromoter		
E2F6	hPromoter	K562	ZNF425	hPromoter		
E2F8	hPromoter	Hela	LIN9	hPromoter		
E4F1	hPromoter	Hela	BRICD5	hPromoter		
E4F1	hPromoter	Hela	PGP	hPromoter		
EARS2	hPromoter	Hela	NDUFAB1	hPromoter		
EBF1	hPromoter	Hela	AKIRIN2	hPromoter		
EBNA1BP2	hPromoter	Hela	RPL7A	EPromoter(K562 & Hela)		
EBNA1BP2	hPromoter	Hela	MED22	EPromoter(K562 & Hela)		
EBPL	hPromoter	Hela	KPNA3	hPromoter		
ECD	hPromoter	Hela	PPP3CB	EPromoter(K562 & Hela)		
ECD	hPromoter	Hela	P4HA1	hPromoter		
ECD	hPromoter	Hela	MRPS16	hPromoter		
ECE1	hPromoter	Hela	ATF2	hPromoter		
ECH1	hPromoter	Hela	HNRNPL	EPromoter(K562)		
ECHS1	hPromoter	Hela	MTG1	hPromoter		
ECI1	hPromoter	Hela	TMEM19	hPromoter		
ECI1	hPromoter	Hela	RNPS1	hPromoter		
ECI1	hPromoter	Hela	PGP	hPromoter		
ECI1	hPromoter	Hela	TBC1D24	hPromoter		
ECI2	hPromoter	Hela	OSCAR	hPromoter		
ECI2	hPromoter	Hela	NDUFA3	hPromoter		
ECI2	hPromoter	Hela	PRPF4B	hPromoter		
ECT2	hPromoter	Hela	NCEH1	hPromoter		
ECT2	hPromoter	Hela	FNDC3B	hPromoter		
EDC4	hPromoter	Hela	NUTF2	hPromoter		
EDC4	hPromoter	Hela	CENPT	hPromoter		
EDF1	hPromoter	Hela	ARHGDIA	EPromoter(Hela)		
EDF1	hPromoter	Hela	PLEKHM3	hPromoter		
EDF1	hPromoter	Hela	TRAF2	hPromoter		
EDF1	hPromoter	Hela	PHPT1	hPromoter		
EDF1	hPromoter	Hela	MAMDC4	hPromoter		
EEA1	hPromoter	Hela	TIPARP	hPromoter		
EED	hPromoter	Hela	TSKU	EPromoter(K562)		
EED	hPromoter	Hela	DLG2	hPromoter		
EED	hPromoter	Hela	TMEM126B	hPromoter		
EEF1A1	hPromoter	Hela	PKM	hPromoter		
EEF1A1	hPromoter	Hela	SLC17A5	hPromoter		
EEF1A1	hPromoter	Hela	MTO1	hPromoter		
EEF1A1	hPromoter	K562	HMGB2	hPromoter		
EEF1B2	hPromoter	Hela	CD55	hPromoter		
EEF1D	hPromoter	Hela	TSTA3	hPromoter		
EEF1D	hPromoter	Hela	GSDMD	hPromoter		
EEF1D	hPromoter	Hela	MROH6	hPromoter		
EEF1D	hPromoter	Hela	NAPRT	hPromoter		
EEF1E1	hPromoter	Hela	BLOC1S5	hPromoter		
EEF1G	hPromoter	Hela	TUT1	hPromoter		
EEF1G	hPromoter	Hela	UQCC3	hPromoter		
EEF1G	hPromoter	Hela	LBHD1	hPromoter		
EEF1G	hPromoter	Hela	CLCF1	hPromoter		
EEF2	EPromoter(K562 & Hela)	Hela	EDRF1	hPromoter		
EEF2	EPromoter(K562 & Hela)	Hela	PIAS4	hPromoter		
EEF2	EPromoter(K562 & Hela)	Hela	DAPK3	hPromoter		
EEF2K	hPromoter	K562 & Hela	POLR3E	EPromoter(Hela)		
EEFSEC	hPromoter	Hela	RUVBL1	hPromoter		
EEPD1	hPromoter	Hela	GTF2H1	hPromoter		
EEPD1	hPromoter	Hela	HPS5	hPromoter		
EFCAB13	hPromoter	Hela	ANXA11	hPromoter		
EFCAB14	hPromoter	K562	ATPAF1	hPromoter		
EFCAB2	hPromoter	Hela	COX20	EPromoter(K562)		
EFCAB2	hPromoter	K562 & Hela	HNRNPU	hPromoter		
EFEMP2	hPromoter	Hela	ESR2	hPromoter		
EFEMP2	hPromoter	Hela	BLM	hPromoter		
EFEMP2	hPromoter	Hela	MARCKSL1	hPromoter		
EFEMP2	hPromoter	Hela	CFL1	hPromoter		
EFEMP2	hPromoter	Hela	MUS81	hPromoter		
EFHC1	EPromoter(Hela)	Hela	GCLC	hPromoter		
EFHD1	hPromoter	Hela	GIGYF2	hPromoter		
EFHD1	hPromoter	Hela	EIF4E2	hPromoter		
EFHD1	hPromoter	Hela	TIGD1	hPromoter		
EGFL8	hPromoter	Hela	JADE1	hPromoter		
EGLN2	hPromoter	Hela	C19orf54	hPromoter		
EGLN2	hPromoter	Hela	SNRPA	hPromoter		
EGR1	hPromoter	Hela	CABP4	hPromoter		
EGR1	hPromoter	Hela	KDM3B	hPromoter		
EHD1	hPromoter	Hela	DDX39B	hPromoter		
EHD1	hPromoter	Hela	CDC42BPG	hPromoter		
EHD2	hPromoter	Hela	CHMP2B	hPromoter		
EHD2	hPromoter	K562 & Hela	GLTSCR2	hPromoter		
EHHADH	hPromoter	Hela	NCAPH	hPromoter		
EHMT2	hPromoter	Hela	CASC3	hPromoter		
EHMT2	hPromoter	Hela	SKIV2L	hPromoter		
EHMT2	hPromoter	Hela	NELFE	hPromoter		
EHMT2	hPromoter	Hela	STK19	hPromoter		
EHMT2	hPromoter	Hela	DXO	hPromoter		
EHMT2	hPromoter	Hela	C6orf48	hPromoter		
EI24	hPromoter	Hela	STT3A	hPromoter		
EID2	hPromoter	Hela	RPS16	hPromoter		
EID2B	hPromoter	Hela	SUPT5H	hPromoter		
EID2B	hPromoter	K562	DLL3	hPromoter		
EID3	hPromoter	K562 & Hela	TXNRD1	hPromoter		
EIF1	hPromoter	Hela	SMTN	hPromoter		
EIF1	hPromoter	Hela	CFB	hPromoter		
EIF1	hPromoter	Hela	SSR2	hPromoter		
EIF1	hPromoter	Hela	DHCR24	hPromoter		
EIF2A	hPromoter	Hela	NBR1	hPromoter		
EIF2A	hPromoter	Hela	ZNF575	hPromoter		
EIF2A	hPromoter	Hela	SELT	hPromoter		
EIF2A	hPromoter	Hela	TM4SF1	hPromoter		
EIF2A	hPromoter	Hela	TRMT10B	hPromoter		
EIF2AK2	hPromoter	Hela	PCTP	hPromoter		
EIF2AK3	hPromoter	Hela	RPIA	hPromoter		
EIF2AK3	hPromoter	Hela	DPH3	hPromoter		
EIF2AK3	hPromoter	Hela	OXNAD1	hPromoter		
EIF2AK4	hPromoter	Hela	GPR176	hPromoter		
EIF2B1	hPromoter	Hela	ATP6V0A2	hPromoter		
EIF2B1	hPromoter	Hela	DDX55	hPromoter		
EIF2B4	hPromoter	Hela	IFRD1	EPromoter(K562)		
EIF2B4	hPromoter	Hela	CKS2	hPromoter		
EIF2B4	hPromoter	Hela	VIPAS39	hPromoter		
EIF2B4	hPromoter	Hela	AHSA1	hPromoter		
EIF2B4	hPromoter	Hela	PTOV1	hPromoter		
EIF2B4	hPromoter	Hela	MPV17	hPromoter		
EIF2B4	hPromoter	Hela	GTF3C2	hPromoter		
EIF2B4	hPromoter	Hela	ABHD16A	hPromoter		
EIF2B5	hPromoter	Hela	ALG3	EPromoter(Hela)		
EIF2B5	hPromoter	Hela	AP2M1	hPromoter		
EIF2B5	hPromoter	Hela	ECE2	hPromoter		
EIF2B5	hPromoter	Hela	PARL	hPromoter		
EIF2D	hPromoter	Hela	DYRK3	hPromoter		
EIF3A	hPromoter	Hela	WRB	hPromoter		
EIF3B	hPromoter	Hela	XRCC6BP1	hPromoter		
EIF3B	hPromoter	Hela	NUDT1	hPromoter		
EIF3B	hPromoter	Hela	FTSJ2	hPromoter		
EIF3D	hPromoter	Hela	PPP1R3C	hPromoter		
EIF3D	hPromoter	Hela	FOXRED2	hPromoter		
EIF3E	hPromoter	Hela	RCC1	hPromoter		
EIF3F	hPromoter	Hela	COMMD9	hPromoter		
EIF3G	hPromoter	Hela	MRGBP	hPromoter		
EIF3H	hPromoter	Hela	UTP23	hPromoter		
EIF3I	hPromoter	K562	FAM167B	hPromoter		
EIF3M	hPromoter	K562	WT1	hPromoter		
EIF4A1	hPromoter	Hela	EIF4A1	hPromoter		
EIF4A1	hPromoter	Hela	CD68	hPromoter		
EIF4A1	hPromoter	Hela	MPDU1	hPromoter		
EIF4A1	hPromoter	Hela	POLR2A	hPromoter		
EIF4A1	hPromoter	Hela	ZBTB4	hPromoter		
EIF4A1	hPromoter	Hela	SENP3	hPromoter		
EIF4A2	hPromoter	Hela	NPRL3	hPromoter		
EIF4A2	hPromoter	Hela	RFC4	hPromoter		
EIF4A2	hPromoter	Hela	TRA2B	hPromoter		
EIF4A2	hPromoter	Hela	DNAJB11	hPromoter		
EIF4A2	hPromoter	Hela	TBCCD1	hPromoter		
EIF4A2	hPromoter	Hela	KLC4	hPromoter		
EIF4A2	hPromoter	Hela	MRPL2	hPromoter		
EIF4A3	hPromoter	Hela	CARD14	hPromoter		
EIF4A3	hPromoter	Hela	SLC26A11	hPromoter		
EIF4A3	hPromoter	K562	GAA	hPromoter		
EIF4B	hPromoter	Hela	ATP11B	hPromoter		
EIF4E	hPromoter	Hela	SLC3A2	hPromoter		
EIF4E	hPromoter	Hela	GCLC	hPromoter		
EIF4E2	hPromoter	Hela	EFHD1	hPromoter		
EIF4EBP1	hPromoter	Hela	ING1	EPromoter(Hela)		
EIF4EBP2	hPromoter	Hela	DNAJB1	hPromoter		
EIF4EBP3	hPromoter	K562	TMCO6	hPromoter		
EIF4ENIF1	hPromoter	Hela	SFI1	hPromoter		
EIF4G1	EPromoter(K562 & Hela)	Hela	EIF4G1	EPromoter(K562 & Hela)		
EIF4G1	EPromoter(K562 & Hela)	K562 & Hela	POLR2H	EPromoter(K562)		
EIF4G1	EPromoter(K562 & Hela)	Hela	ALG3	EPromoter(Hela)		
EIF4G1	EPromoter(K562 & Hela)	Hela	PSMD2	EPromoter(Hela)		
EIF4G1	EPromoter(K562 & Hela)	Hela	AP2M1	hPromoter		
EIF4G1	EPromoter(K562 & Hela)	Hela	ECE2	hPromoter		
EIF4G1	EPromoter(K562 & Hela)	K562 & Hela	CLCN2	hPromoter		
EIF4G1	EPromoter(K562 & Hela)	K562 & Hela	FAM131A	hPromoter		
EIF4G2	hPromoter	K562 & Hela	ZBED5	hPromoter		
EIF4G3	hPromoter	Hela	ACSM6	hPromoter		
EIF4H	hPromoter	Hela	PARK7	hPromoter		
EIF5	EPromoter(K562)	Hela	CAMTA1	hPromoter		
EIF5	EPromoter(K562)	Hela	HOXC9	hPromoter		
EIF5	EPromoter(K562)	Hela	MARK3	hPromoter		
EIF5	EPromoter(K562)	Hela	KIAA0430	hPromoter		
EIF5	EPromoter(K562)	Hela	UBE2S	hPromoter		
EIF5A	hPromoter	K562 & Hela	UBE2B	EPromoter(K562 & Hela)		
EIF5A	hPromoter	K562 & Hela	CDKL3	EPromoter(K562 & Hela)		
EIF5A	hPromoter	K562 & Hela	ELP5	EPromoter(Hela)		
EIF5A	hPromoter	K562 & Hela	CTDNEP1	EPromoter(Hela)		
EIF5A	hPromoter	K562 & Hela	MRPL48	hPromoter		
EIF5A	hPromoter	K562 & Hela	PHF23	hPromoter		
EIF5A	hPromoter	K562 & Hela	SLC2A4	hPromoter		
EIF5A2	hPromoter	Hela	RPL22L1	hPromoter		
EIF5B	hPromoter	Hela	TSGA10	hPromoter		
EIF5B	hPromoter	Hela	LIPT1	hPromoter		
EIF5B	hPromoter	K562 & Hela	MRPL30	hPromoter		
EIF5B	hPromoter	K562 & Hela	MITD1	hPromoter		
ELAC1	hPromoter	K562	MRO	hPromoter		
ELAVL3	hPromoter	K562	PRKCSH	EPromoter(Hela)		
ELAVL3	hPromoter	K562	CCDC151	EPromoter(Hela)		
ELF1	EPromoter(K562)	Hela	TCTN1	hPromoter		
ELF1	EPromoter(K562)	Hela	ID1	hPromoter		
ELF3	hPromoter	Hela	BNC1	hPromoter		
ELF3	hPromoter	Hela	GPR37L1	hPromoter		
ELFN1	hPromoter	Hela	INTS1	hPromoter		
ELFN1	hPromoter	Hela	TMEM184A	hPromoter		
ELL	hPromoter	Hela	UBA52	hPromoter		
ELL	hPromoter	Hela	C19orf60	hPromoter		
ELL	hPromoter	Hela	KLHL26	hPromoter		
ELL	hPromoter	Hela	RPS9	hPromoter		
ELL	hPromoter	K562	KXD1	hPromoter		
ELL2	hPromoter	Hela	RFESD	hPromoter		
ELL3	hPromoter	Hela	SERF2	hPromoter		
ELMO2	hPromoter	Hela	SLC35C2	EPromoter(Hela)		
ELMO3	hPromoter	Hela	E2F4	EPromoter(Hela)		
ELMO3	hPromoter	Hela	EXOC3L1	hPromoter		
ELMO3	hPromoter	Hela	KIAA0895L	hPromoter		
ELMOD3	hPromoter	Hela	PRDX1	hPromoter		
ELMOD3	hPromoter	Hela	TGOLN2	hPromoter		
ELMSAN1	EPromoter(K562 & Hela)	K562 & Hela	ELMSAN1	EPromoter(K562 & Hela)		
ELMSAN1	EPromoter(K562 & Hela)	Hela	PTGR2	hPromoter		
ELOVL1	hPromoter	Hela	SZT2	hPromoter		
ELOVL1	hPromoter	Hela	MED8	hPromoter		
ELOVL1	hPromoter	Hela	CDC20	hPromoter		
ELP2	hPromoter	Hela	MOCOS	hPromoter		
ELP6	hPromoter	Hela	SCAP	hPromoter		
EMC10	hPromoter	Hela	OR12D3	hPromoter		
EMC2	hPromoter	Hela	HIST1H2BD	hPromoter		
EMC3	hPromoter	Hela	FANCD2	hPromoter		
EMC3	hPromoter	Hela	JAGN1	hPromoter		
EMC4	hPromoter	K562	EMC7	hPromoter		
EMC4	hPromoter	K562	PGBD4	hPromoter		
EMC6	hPromoter	Hela	CTNS	hPromoter		
EMC6	hPromoter	Hela	SHPK	hPromoter		
EMC7	hPromoter	Hela	KATNBL1	hPromoter		
EMC7	hPromoter	K562	EMC4	hPromoter		
EMC7	hPromoter	K562	NOP10	hPromoter		
EMC7	hPromoter	K562	NUTM1	hPromoter		
EMC7	hPromoter	K562 & Hela	LPCAT4	hPromoter		
EMC9	hPromoter	Hela	DCAF11	hPromoter		
EME1	hPromoter	Hela	RSAD1	hPromoter		
EME2	hPromoter	K562 & Hela	SPSB3	hPromoter		
EME2	hPromoter	K562 & Hela	NUBP2	hPromoter		
EML2	hPromoter	Hela	RTN2	hPromoter		
EML2	hPromoter	Hela	OPA3	hPromoter		
EML3	hPromoter	Hela	B3GAT3	hPromoter		
EML3	hPromoter	Hela	INTS5	hPromoter		
EML3	hPromoter	Hela	UQCC3	hPromoter		
EML3	hPromoter	Hela	LBHD1	hPromoter		
EML3	hPromoter	Hela	UBXN1	hPromoter		
EML3	hPromoter	Hela	TMEM179B	hPromoter		
EML3	hPromoter	Hela	TUT1	hPromoter		
EML3	hPromoter	Hela	MTA2	hPromoter		
EML4	hPromoter	Hela	NUP85	hPromoter		
EML5	hPromoter	K562	ZC3H14	hPromoter		
EML6	hPromoter	Hela	TCF25	hPromoter		
EMP1	EPromoter(K562)	Hela	STAT6	hPromoter		
EMR2	hPromoter	Hela	NDUFB7	hPromoter		
ENDOD1	hPromoter	K562 & Hela	KDM4D	hPromoter		
ENDOD1	hPromoter	K562 & Hela	CWC15	hPromoter		
ENDOG	hPromoter	Hela	C9orf114	hPromoter		
ENG	hPromoter	Hela	FPGS	hPromoter		
ENKD1	hPromoter	K562	CTCF	hPromoter		
ENKUR	hPromoter	Hela	SF3A2	hPromoter		
ENKUR	hPromoter	K562 & Hela	ENKUR	hPromoter		
ENO1	hPromoter	Hela	SCGB2A1	hPromoter		
ENO1	hPromoter	Hela	ACTN1	hPromoter		
ENO1	hPromoter	Hela	NUB1	hPromoter		
ENO3	hPromoter	Hela	GP1BA	EPromoter(K562)		
ENO3	hPromoter	Hela	SPAG7	hPromoter		
ENO3	hPromoter	Hela	INCA1	hPromoter		
ENO3	hPromoter	Hela	KIF1C	hPromoter		
ENO3	hPromoter	Hela	SLC25A11	hPromoter		
ENO3	hPromoter	Hela	RNF167	hPromoter		
ENOPH1	hPromoter	K562 & Hela	HNRNPD	hPromoter		
ENOSF1	EPromoter(K562)	Hela	SAV1	hPromoter		
ENOSF1	EPromoter(K562)	Hela	TYMS	hPromoter		
ENOSF1	EPromoter(K562)	Hela	TYMSOS	hPromoter		
ENPP4	hPromoter	Hela	BTBD9	hPromoter		
ENSG00000005189	hPromoter	Hela	THUMPD1	hPromoter		
ENSG00000105520	hPromoter	Hela	TMEM205	hPromoter		
ENSG00000105520	hPromoter	Hela	CCDC159	hPromoter		
ENSG00000113811	hPromoter	Hela	HMOX2	hPromoter		
ENSG00000113811	hPromoter	Hela	AKTIP	hPromoter		
ENSG00000113811	hPromoter	Hela	ACTR8	hPromoter		
ENSG00000115128	hPromoter	Hela	ATAD2B	hPromoter		
ENSG00000141979	hPromoter	Hela	SMIM7	hPromoter		
ENSG00000141979	hPromoter	Hela	TMEM38A	hPromoter		
ENSG00000141979	hPromoter	Hela	SLC35E1	hPromoter		
ENSG00000166503	hPromoter	K562	C15orf40	hPromoter		
ENSG00000166503	hPromoter	K562	BTBD1	hPromoter		
ENSG00000167774	hPromoter	Hela	SLC7A11	EPromoter(K562 & Hela)		
ENSG00000167774	hPromoter	Hela	RAB11B	hPromoter		
ENSG00000167774	hPromoter	Hela	OR13C4	hPromoter		
ENSG00000167807	hPromoter	Hela	ZNF311	hPromoter		
ENSG00000198843	hPromoter	Hela	EIF2A	hPromoter		
ENSG00000198843	hPromoter	Hela	SERP1	hPromoter		
ENSG00000198843	hPromoter	Hela	KIF20A	hPromoter		
ENSG00000198843	hPromoter	Hela	BRD8	hPromoter		
ENSG00000203546	hPromoter	Hela	DTD2	hPromoter		
ENSG00000228144	hPromoter	K562	TMBIM4	hPromoter		
ENSG00000228144	hPromoter	K562	LLPH	hPromoter		
ENSG00000232850	hPromoter	Hela	CIZ1	EPromoter(K562)		
ENSG00000232850	hPromoter	Hela	AZIN1	hPromoter		
ENSG00000232850	hPromoter	Hela	PTGES2	hPromoter		
ENSG00000232850	hPromoter	Hela	LCN2	hPromoter		
ENSG00000232850	hPromoter	Hela	ST6GALNAC4	hPromoter		
ENSG00000232850	hPromoter	Hela	NAIF1	hPromoter		
ENSG00000234857	hPromoter	Hela	SLC3A2	hPromoter		
ENSG00000234857	hPromoter	Hela	ANAPC15	hPromoter		
ENSG00000234857	hPromoter	Hela	GANAB	hPromoter		
ENSG00000234857	hPromoter	Hela	METTL12	hPromoter		
ENSG00000234857	hPromoter	Hela	C11orf98	hPromoter		
ENSG00000234857	hPromoter	Hela	BSCL2	hPromoter		
ENSG00000237452	hPromoter	Hela	SIX5	hPromoter		
ENSG00000248751	hPromoter	K562	TBC1D10A	hPromoter		
ENSG00000248993	hPromoter	Hela	BRD2	EPromoter(K562 & Hela)		
ENSG00000249773	hPromoter	Hela	PRNP	hPromoter		
ENSG00000250264	hPromoter	Hela	TAP1	hPromoter		
ENSG00000250264	hPromoter	Hela	PSMB9	hPromoter		
ENSG00000250264	hPromoter	Hela	MCUR1	hPromoter		
ENSG00000254469	hPromoter	Hela	SLC16A11	hPromoter		
ENSG00000254469	hPromoter	Hela	RPS11	hPromoter		
ENSG00000255154	hPromoter	Hela	ABHD6	hPromoter		
ENSG00000255292	hPromoter	Hela	TEX12	hPromoter		
ENSG00000255292	hPromoter	Hela	DLAT	hPromoter		
ENSG00000255339	hPromoter	Hela	HIF1AN	hPromoter		
ENSG00000255439	hPromoter	Hela	KAT8	hPromoter		
ENSG00000255439	hPromoter	Hela	ZNF668	hPromoter		
ENSG00000255439	hPromoter	Hela	ZNF646	hPromoter		
ENSG00000255835	hPromoter	Hela	TMEM63A	hPromoter		
ENSG00000256206	hPromoter	Hela	COPB1	hPromoter		
ENSG00000256566	hPromoter	Hela	NOP56	hPromoter		
ENSG00000256646	hPromoter	Hela	C7orf25	EPromoter(Hela)		
ENSG00000256646	hPromoter	Hela	MRPL32	hPromoter		
ENSG00000256646	hPromoter	Hela	PSMA2	hPromoter		
ENSG00000256646	hPromoter	K562	KIZ	hPromoter		
ENSG00000256825	hPromoter	K562	ZNF268	hPromoter		
ENSG00000256861	hPromoter	Hela	DIABLO	hPromoter		
ENSG00000258465	hPromoter	Hela	DCAF8	EPromoter(K562)		
ENSG00000258677	hPromoter	Hela	TCEB1	hPromoter		
ENSG00000258677	hPromoter	Hela	STAU2	hPromoter		
ENSG00000258728	hPromoter	Hela	DTD2	hPromoter		
ENSG00000258728	hPromoter	Hela	VCP	hPromoter		
ENSG00000258790	hPromoter	Hela	CRLS1	hPromoter		
ENSG00000258947	hPromoter	Hela	CTPS1	hPromoter		
ENSG00000258947	hPromoter	Hela	CENPBD1	hPromoter		
ENSG00000258947	hPromoter	Hela	TXNDC11	hPromoter		
ENSG00000259066	hPromoter	Hela	UBR7	hPromoter		
ENSG00000259066	hPromoter	Hela	C14orf142	hPromoter		
ENSG00000259132	hPromoter	Hela	AJUBA	hPromoter		
ENSG00000259529	hPromoter	Hela	PCK2	EPromoter(K562)		
ENSG00000259529	hPromoter	Hela	IRF9	EPromoter(Hela)		
ENSG00000259529	hPromoter	Hela	TPT1	hPromoter		
ENSG00000259529	hPromoter	Hela	DCAF11	hPromoter		
ENSG00000259529	hPromoter	Hela	PSME1	hPromoter		
ENSG00000261459	hPromoter	Hela	ZNF689	hPromoter		
ENSG00000261459	hPromoter	Hela	ZNF688	hPromoter		
ENSG00000261459	hPromoter	Hela	ZNF785	hPromoter		
ENSG00000261459	hPromoter	Hela	SEPHS2	hPromoter		
ENSG00000261459	hPromoter	Hela	THAP5	hPromoter		
ENSG00000261459	hPromoter	Hela	DNAJB9	hPromoter		
ENSG00000261459	hPromoter	K562	DCTPP1	hPromoter		
ENSG00000262660	hPromoter	Hela	CCDC137	hPromoter		
ENSG00000262660	hPromoter	Hela	OXLD1	hPromoter		
ENSG00000262660	hPromoter	Hela	HGS	hPromoter		
ENSG00000262660	hPromoter	Hela	ARL16	hPromoter		
ENSG00000262660	hPromoter	Hela	SLC25A10	hPromoter		
ENSG00000263809	hPromoter	Hela	CTC1	hPromoter		
ENSG00000267120	hPromoter	Hela	HSPB6	hPromoter		
ENSG00000267120	hPromoter	Hela	PROSER3	hPromoter		
ENSG00000267261	hPromoter	Hela	CNP	hPromoter		
ENSG00000267552	hPromoter	Hela	CACTIN	hPromoter		
ENSG00000267618	hPromoter	Hela	ZNF830	hPromoter		
ENSG00000267618	hPromoter	Hela	CCT6B	hPromoter		
ENSG00000267618	hPromoter	Hela	LIG3	hPromoter		
ENSG00000268133	hPromoter	Hela	ZNF548	hPromoter		
ENSG00000268133	hPromoter	Hela	ZNF543	hPromoter		
ENSG00000268133	hPromoter	Hela	ZNF304	hPromoter		
ENSG00000268643	hPromoter	Hela	CIC	EPromoter(K562)		
ENSG00000268643	hPromoter	Hela	GSK3A	hPromoter		
ENSG00000268643	hPromoter	Hela	PCYT1A	hPromoter		
ENSG00000268750	hPromoter	Hela	NPTN	hPromoter		
ENSG00000268750	hPromoter	K562	ZNF417	hPromoter		
ENSG00000269026	hPromoter	K562	ZNF671	hPromoter		
ENSG00000269533	hPromoter	Hela	ZNF547	hPromoter		
ENSG00000269547	hPromoter	Hela	MRPS12	hPromoter		
ENSG00000269547	hPromoter	Hela	SARS2	hPromoter		
ENSG00000269590	hPromoter	Hela	DHPS	hPromoter		
ENSG00000269590	hPromoter	Hela	ADGRE5	hPromoter		
ENSG00000270466	hPromoter	Hela	ZNF48	hPromoter		
ENSG00000270466	hPromoter	Hela	CD2BP2	hPromoter		
ENSG00000270757	hPromoter	Hela	MOB4	hPromoter		
ENSG00000270757	hPromoter	Hela	37316	hPromoter		
ENSG00000271810	hPromoter	Hela	LRIG2	hPromoter		
ENSG00000272162	hPromoter	Hela	TMEM14C	hPromoter		
ENSG00000272162	hPromoter	Hela	C6orf52	hPromoter		
ENSG00000272162	hPromoter	Hela	PAK1IP1	hPromoter		
ENSG00000272260	hPromoter	K562	CD164	hPromoter		
ENSG00000272410	hPromoter	Hela	RAB5B	hPromoter		
ENSG00000272410	hPromoter	Hela	SAP30L	hPromoter		
ENTPD4	hPromoter	Hela	TNFRSF10D	hPromoter		
